TFSI,NCN,Ni,Fe,Predictor,Gas
314.07,766.87,518.4,6.42582278481013,No gas,0
314.27,768.05,518.13,6.42518987341772,No gas,0
313.87,767.46,518.13,6.42455696202532,No gas,0
314.07,767.46,518.13,6.4246835443038,No gas,0
314.07,766.87,518.4,6.42430379746836,No gas,0
314.27,767.46,518.4,6.42417721518988,No gas,0
314.07,767.46,518.4,6.42443037974684,No gas,0
313.97,767.46,518.4,6.42379746835443,No gas,0
313.97,766.87,518.67,6.42316455696203,No gas,0
314.07,767.46,518.13,6.42253164556962,No gas,0
314.86,766.87,518.13,6.42164556962026,No gas,0
314.27,767.46,518.67,6.42101265822785,No gas,0
314.07,767.46,518.13,6.42164556962025,No gas,0
314.37,768.05,518.4,6.4220253164557,No gas,0
315.66,769.23,518.13,6.42088607594937,No gas,0
314.07,768.64,518.13,6.42088607594937,No gas,0
314.17,767.46,518.4,6.42088607594937,No gas,0
313.97,768.05,518.67,6.42063291139241,No gas,0
313.97,767.46,518.4,6.42025316455696,No gas,0
314.17,767.46,518.4,6.42,No gas,0
313.97,766.28,518.4,6.42012658227848,No gas,0
313.97,767.46,518.4,6.41949367088608,No gas,0
313.87,766.87,518.67,6.41886075949367,No gas,0
314.07,768.05,518.13,6.41797468354431,No gas,0
314.17,766.87,518.13,6.41696202531646,No gas,0
314.37,768.05,518.13,6.4167088607595,No gas,0
313.77,766.28,518.13,6.41658227848102,No gas,0
311.53,766.28,518.4,6.41594936708861,No gas,0
314.07,766.87,518.4,6.41544303797469,No gas,0
313.97,768.05,518.4,6.41481012658228,No gas,0
313.19,767.46,517.33,6.41455696202532,No gas,0
314.07,768.05,518.4,6.41506329113924,No gas,0
314.07,766.87,518.13,6.41481012658228,No gas,0
313.87,768.05,518.4,6.4146835443038,No gas,0
313.97,766.87,518.4,6.41506329113924,No gas,0
314.37,768.05,518.4,6.41518987341772,No gas,0
314.07,766.28,518.4,6.41455696202532,No gas,0
314.27,767.46,518.67,6.41430379746836,No gas,0
314.07,766.28,518.4,6.41329113924051,No gas,0
313.68,767.46,518.67,6.41164556962025,No gas,0
313.87,766.28,518.67,6.4120253164557,No gas,0
313.97,768.05,518.13,6.41189873417722,No gas,0
314.17,769.82,517.87,6.41113924050633,No gas,0
314.56,768.05,518.4,6.41063291139241,No gas,0
313.97,766.87,518.13,6.41025316455696,No gas,0
314.17,767.46,518.67,6.41063291139241,No gas,0
313.97,766.87,518.4,6.41025316455696,No gas,0
314.17,768.05,518.4,6.41,No gas,0
314.07,767.46,518.4,6.40949367088608,No gas,0
313.97,768.05,517.87,6.40898734177215,No gas,0
313.87,767.46,518.13,6.40987341772152,No gas,0
313.87,766.87,518.67,6.40848101265823,No gas,0
314.17,766.87,518.4,6.40620253164557,No gas,0
313.97,767.46,518.4,6.40455696202532,No gas,0
314.07,766.28,518.4,6.4046835443038,No gas,0
314.17,768.05,518.4,6.40443037974684,No gas,0
314.07,766.87,518.4,6.40493670886076,No gas,0
314.17,768.05,518.4,6.40455696202532,No gas,0
314.07,766.28,518.4,6.40430379746835,No gas,0
314.07,768.05,518.13,6.40430379746835,No gas,0
313.87,767.46,518.4,6.40341772151899,No gas,0
314.17,768.05,518.4,6.40316455696203,No gas,0
313.58,769.82,518.4,6.4053164556962,No gas,0
314.17,768.05,518.13,6.4073417721519,No gas,0
314.07,766.28,518.4,6.40645569620253,No gas,0
314.17,768.05,518.13,6.40556962025316,No gas,0
314.17,766.87,518.4,6.40405063291139,No gas,0
314.27,767.46,518.13,6.40253164556962,No gas,0
313.87,766.28,518.4,6.40253164556962,No gas,0
313.97,767.46,518.4,6.40151898734177,No gas,0
313.97,767.46,518.4,6.40113924050633,No gas,0
314.07,767.46,518.13,6.40088607594937,No gas,0
313.48,766.28,516.26,6.40037974683544,No gas,0
314.07,767.46,518.4,6.40025316455696,No gas,0
314.56,766.28,518.13,6.39911392405063,No gas,0
314.37,766.87,518.94,6.4,No gas,0
314.27,768.05,518.67,6.39949367088607,No gas,0
314.17,768.64,518.67,6.39886075949367,No gas,0
314.56,766.87,518.94,6.39835443037974,No gas,0
314.27,768.05,518.13,6.39708860759493,No gas,0
313.28,768.05,518.67,6.39721518987341,No gas,0
313.87,768.05,518.67,6.39759493670886,No gas,0
313.77,767.46,518.13,6.39924050632911,No gas,0
314.47,768.05,518.4,6.40113924050633,No gas,0
313.87,766.28,518.67,6.4006329113924,No gas,0
314.56,768.05,518.4,6.39974683544304,No gas,0
313.97,766.87,518.4,6.39936708860759,No gas,0
313.97,768.05,518.4,6.4006329113924,No gas,0
313.87,766.87,518.13,6.40177215189873,No gas,0
313.97,767.46,518.4,6.40139240506329,No gas,0
313.77,767.46,517.33,6.40101265822785,No gas,0
314.07,767.46,518.4,6.4,No gas,0
314.07,766.87,518.4,6.39898734177215,No gas,0
313.87,768.05,518.13,6.39924050632911,No gas,0
314.17,766.87,518.13,6.39860759493671,No gas,0
314.17,768.05,518.4,6.39886075949367,No gas,0
314.07,766.28,518.4,6.39886075949367,No gas,0
314.07,767.46,518.4,6.39873417721519,No gas,0
314.07,766.87,518.4,6.39797468354431,No gas,0
314.07,767.46,518.4,6.39683544303798,No gas,0
312.3,766.87,518.4,6.39860759493671,No gas,0
314.17,767.46,518.67,6.40012658227848,No gas,0
314.07,766.87,518.4,6.40151898734177,No gas,0
313.97,768.05,518.4,6.40113924050633,No gas,0
314.17,766.87,518.4,6.40063291139241,No gas,0
314.37,767.46,518.4,6.40101265822785,No gas,0
314.47,765.7,518.13,6.40101265822785,No gas,0
314.47,768.05,518.4,6.40050632911393,No gas,0
313.97,766.28,518.4,6.40037974683544,No gas,0
314.27,766.87,520.02,6.40025316455696,No gas,0
313.97,766.87,518.4,6.3993670886076,No gas,0
314.07,767.46,518.4,6.3993670886076,No gas,0
314.07,766.28,518.4,6.40075949367089,No gas,0
314.27,767.46,518.4,6.40164556962025,No gas,0
314.17,766.87,518.4,6.40050632911392,No gas,0
314.27,768.64,518.4,6.40050632911392,No gas,0
313.87,766.87,518.67,6.4,No gas,0
314.17,768.05,518.4,6.39949367088608,No gas,0
314.17,766.87,518.13,6.39962025316456,No gas,0
314.17,767.46,518.4,6.39924050632911,No gas,0
313.97,767.46,518.13,6.39898734177215,No gas,0
314.76,767.46,518.67,6.39886075949367,No gas,0
314.27,768.05,518.94,6.39873417721519,No gas,0
314.17,766.87,518.13,6.39886075949367,No gas,0
313.28,766.28,518.13,6.39822784810126,No gas,0
313.87,768.05,518.4,6.39822784810126,No gas,0
314.07,767.46,518.4,6.3979746835443,No gas,0
314.17,768.05,518.4,6.3979746835443,No gas,0
314.07,766.28,518.4,6.39784810126582,No gas,0
314.07,768.05,518.13,6.39607594936709,No gas,0
314.27,768.05,518.4,6.39620253164557,No gas,0
313.87,768.05,518.4,6.39658227848101,No gas,0
314.17,766.87,518.13,6.39658227848101,No gas,0
313.97,767.46,518.4,6.39658227848101,No gas,0
314.07,767.46,518.4,6.39645569620253,No gas,0
314.47,776.4,517.6,6.39556962025316,No gas,0
313.77,766.28,517.87,6.39696202531645,No gas,0
314.17,768.05,518.67,6.39658227848101,No gas,0
313.97,766.87,518.13,6.3959493670886,No gas,0
314.17,768.05,518.67,6.39582278481012,No gas,0
314.17,766.28,518.4,6.39569620253164,No gas,0
313.97,768.05,518.4,6.39316455696202,No gas,0
314.07,768.64,518.4,6.39113924050632,No gas,0
314.07,767.46,518.67,6.39088607594936,No gas,0
314.07,766.87,518.13,6.38987341772151,No gas,0
313.87,767.46,518.4,6.38949367088607,No gas,0
314.17,766.87,518.4,6.38911392405063,No gas,0
314.27,768.64,518.4,6.38962025316455,No gas,0
315.06,766.87,518.67,6.38949367088607,No gas,0
314.37,768.05,518.94,6.38873417721519,No gas,0
313.97,766.28,518.4,6.38886075949367,No gas,0
314.17,767.46,518.4,6.38873417721519,No gas,0
313.87,767.46,518.4,6.38822784810126,No gas,0
314.07,768.05,518.4,6.3879746835443,No gas,0
314.17,766.87,518.4,6.38658227848101,No gas,0
314.07,768.05,518.67,6.38658227848101,No gas,0
314.17,766.87,518.13,6.38670886075949,No gas,0
314.47,767.46,518.4,6.38670886075949,No gas,0
314.47,767.46,518.4,6.38670886075949,No gas,0
314.07,767.46,518.4,6.3879746835443,No gas,0
313.87,766.28,518.67,6.38898734177215,No gas,0
314.17,767.46,518.13,6.38632911392405,No gas,0
314.07,767.46,518.4,6.38455696202531,No gas,0
314.07,769.82,518.4,6.38518987341772,No gas,0
314.27,766.87,518.4,6.38544303797468,No gas,0
313.58,768.64,518.4,6.38544303797468,No gas,0
314.07,767.46,518.4,6.38379746835443,No gas,0
313.97,768.05,518.4,6.38240506329114,No gas,0
314.27,763.94,520.02,6.38253164556962,No gas,0
